date,1011010402,1011010501,1011010504,1011010801,1011010101,1011010201
2020/7/1,4.85,35.374,76.715,35.365,205.402,46.64
2020/7/2,4.6,32.199,66.064,48.51,198.362,43.943
2020/7/3,9.572,35.896,64.253,42.442,190.779,42.076
2020/7/4,5.439,57.067,81.282,47.262,236.587,55.662
2020/7/5,4.019,61.816,98.496,73.213,223.899,55.474
2020/7/6,3.089,30.727,58.682,40.578,195.74,42.721
2020/7/7,3.117,32.112,42.213,52.56,172.052,45.749
2020/7/8,10.605,39.67,65.88,43.968,152.57,45.433
2020/7/9,2.106,25.921,58.86,37.837,187.439,41.131
2020/7/10,9.025,37.86,58.936,41.429,179.833,62.344
2020/7/11,8.928,68.277,85.936,52.238,270.343,76.564
2020/7/12,13.994,81.706,72.168,55.96,300.189,71.615
2020/7/13,11.605,44.379,61.24,42.113,190.832,32.028
2020/7/14,9.007,34.747,66.745,44.836,190.599,57.575
2020/7/15,10.238,38.17,73.354,42.196,217.442,37.962
2020/7/16,11.354,26.586,72.656,53.259,212.526,39.45
2020/7/17,10.727,37.251,61.025,51.908,195.67,44.198
2020/7/18,10.418,56.585,85.051,71.692,274.265,61.088
2020/7/19,11.124,71.772,102.711,79.821,319.791,76.351
2020/7/20,9.548,33.947,67.35,52.617,204.997,47.431
2020/7/21,12.744,27.094,56.993,45.905,214.99,49.005
2020/7/22,10.85,48.247,81.309,66.678,232.41,53.675
2020/7/23,30.417,44.142,57.639,56.759,199.984,39.425
2020/7/24,11.74,34.97,57.58,49.201,176.325,37.695
2020/7/25,10.424,61.874,94.206,67.013,227.137,57.421
2020/7/26,12.988,69.521,102.061,71.295,250.825,64.119
2020/7/27,17.265,36.121,71.402,52.777,198.009,42.876
2020/7/28,13.959,40.34,66.001,47.728,165.443,34.937
2020/7/29,18.597,40.777,82.494,54.315,193.729,42.22
2020/7/30,10.645,46.311,67.643,50.774,201.743,38.198
2020/7/31,19.062,34.092,41.104,45.587,197.166,37.549
2020/8/1,21.432,48.805,66.156,53.797,229.89,54.362
2020/8/2,56.154,50.893,67.963,54.961,243.138,49.219
2020/8/3,15.555,45.191,86.474,48.575,207.843,44.426
2020/8/4,26.208,30.591,73.365,45.301,180.012,44.534
2020/8/5,21.452,49.472,82.229,62.84,244.395,43.631
2020/8/6,19.115,31.596,74.047,48.611,234.777,40.827
